 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97
Eb major (3b), C minor (3b), C minor (3b), C major (0), C major (0), C major (0), F major (1b), F major (1b), C major (0), C major (0), C minor (3b), C major (0), C major (0), C major (0), F major (1b), Bb major (2b), F major (1b), C major (0), A minor (0), A minor (0), E minor (1#), C major (0), C major (0), C major (0), C major (0), C minor (3b), C minor (3b), C major (0), C major (0), C major (0), F major (1b), Bb major (2b), F major (1b), C major (0), C major (0), C minor (3b), C major (0), C major (0), F major (1b), Bb major (2b), C major (0), C minor (3b), C major (0), C minor (3b), C major (0), C major (0), F major (1b), F major (1b), C major (0), C major (0), A minor (0), A minor (0), G major (1#), E minor (1#), C major (0), C major (0), C major (0), C minor (3b), C major (0), C major (0), G major (1#), C major (0), F major (1b), Bb major (2b), F major (1b), C major (0), C major (0), C minor (3b), C major (0), C major (0), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), C major (0), C major (0), C major (0), F major (1b), Bb major (2b), F major (1b), C major (0), A minor (0), A minor (0), E minor (1#), G major (1#), G minor (2b), G minor (2b), C major (0), C major (0), C major (0), C minor (3b), C major (0), C minor (3b), F minor (4b), F major (1b), C major (0), C minor (3b), C major (0)
A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), C major (0), C major (0), C major (0), A minor (0), A major (3#), D major (2#), D major (2#), D major (2#), G major (1#), C major (0), C major (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), A minor (0), D minor (1b), A minor (0), C major (0), C major (0), G major (1#), C major (0), G major (1#), C major (0), D major (2#), D major (2#), D minor (1b), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), A minor (0), A major (3#), A major (3#), E major (4#), E minor (1#), A minor (0), C major (0), C major (0), C major (0), A minor (0), A major (3#), A minor (0), D minor (1b), C major (0), C major (0), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), C major (0), A minor (0), A major (3#), A minor (0), C major (0), A minor (0), D major (2#), D major (2#), C major (0), C major (0), C major (0), C major (0), A minor (0), A major (3#), E major (4#), A major (3#), D major (2#), A major (3#), A minor (0), A minor (0), C major (0), A minor (0), A minor (0), C major (0), C major (0), C major (0), C major (0), A minor (0), C major (0)
C minor (3b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), A minor (0), E minor (1#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), G major (1#), C major (0), C major (0), C major (0), F major (1b), C major (0), C major (0), C major (0), G major (1#), C major (0), F major (1b), F major (1b), C major (0), C major (0), C major (0), C major (0), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), A minor (0), G major (1#), E minor (1#), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), G major (1#), C major (0), F major (1b), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), C major (0), A minor (0), A minor (0), E minor (1#), G major (1#), G minor (2b), G major (1#), C major (0), C major (0), C major (0), C major (0), C major (0), C minor (3b), F minor (4b), F major (1b), C major (0), C major (0), C major (0)
F# minor (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), A major (3#), A major (3#), E major (4#), A major (3#), D major (2#), A major (3#), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), D minor (1b), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), D minor (1b), F major (1b), D major (2#), D major (2#), D minor (1b), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), A major (3#), A major (3#), A minor (0), E minor (1#), A minor (0), A major (3#), A minor (0), D minor (1b), D minor (1b), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), A minor (0), C major (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), D major (2#), C major (0), C major (0), A minor (0), E minor (1#), A major (3#), A major (3#), E major (4#), A major (3#), A major (3#), A major (3#), A minor (0), A minor (0), E minor (1#), A minor (0), A minor (0), C major (0), C major (0), A minor (0), A minor (0), A minor (0), A minor (0)
Ab major (4b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), F minor (4b), F major (1b), F minor (4b), F major (1b), A minor (0), A major (3#), D major (2#), D major (2#), G major (1#), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), A minor (0), A major (3#), D major (2#), D major (2#), G major (1#), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), D major (2#), D major (2#), D major (2#), D minor (1b), G minor (2b), G minor (2b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b)
E major (4#), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), C major (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), E minor (1#), E minor (1#), E major (4#), A major (3#), E major (4#), A major (3#), D major (2#), A major (3#), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), G major (1#), D major (2#), G major (1#), G major (1#), G minor (2b), D major (2#), G major (1#), E minor (1#), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), E major (4#), A major (3#), A major (3#), E major (4#), E minor (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), A minor (0), G major (1#), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), D major (2#), D minor (1b), A minor (0), E minor (1#), G major (1#), G major (1#), G major (1#), D major (2#), D major (2#), C major (0), C major (0), A minor (0), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), A minor (0), A minor (0), E minor (1#), A minor (0), E minor (1#), G major (1#), C major (0), A minor (0), A minor (0), A minor (0), E minor (1#)
F minor (4b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), A minor (0), A minor (0), D minor (1b), D minor (1b), C major (0), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), A minor (0), A minor (0), D major (2#), D major (2#), C major (0), C major (0), F major (1b), F major (1b), F major (1b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), D minor (1b), F major (1b), F major (1b), F major (1b), F major (1b), D major (2#), D major (2#), D major (2#), D minor (1b), G minor (2b), G minor (2b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b)
C# minor (4#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), A minor (0), A major (3#), A minor (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), C major (0), C major (0), E minor (1#), E major (4#), E major (4#), E major (4#), A major (3#), E minor (1#), E minor (1#), C major (0), C major (0), A minor (0), A minor (0), A major (3#), A minor (0), C major (0), C major (0), G major (1#), E minor (1#), E minor (1#), A minor (0), A major (3#), C major (0), G major (1#), G minor (2b), D minor (1b), A minor (0), C major (0), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), E major (4#), E major (4#), A major (3#), E major (4#), E minor (1#), E minor (1#), C major (0), C major (0), E minor (1#), A minor (0), E minor (1#), C major (0), F major (1b), C major (0), G major (1#), G major (1#), G major (1#), G major (1#), G major (1#), C major (0), C major (0), A minor (0), E minor (1#), A minor (0), E minor (1#), E minor (1#), E major (4#), D major (2#), C major (0), C major (0), A minor (0), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), E minor (1#), A minor (0), E minor (1#), A minor (0), E minor (1#), C major (0), C major (0), C major (0), C major (0), A minor (0), E minor (1#)
Db major (5b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), D minor (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), A minor (0), A minor (0), E minor (1#), D major (2#), G major (1#), G major (1#), Bb major (2b), F minor (4b), F major (1b), F major (1b), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), Bb major (2b), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), A minor (0), A minor (0), G major (1#), E minor (1#), G major (1#), G major (1#), Bb major (2b), Bb major (2b), F major (1b), F major (1b), D minor (1b), Bb major (2b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), Bb major (2b), F major (1b), C major (0), C major (0), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), Bb major (2b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), A minor (0), A minor (0), E minor (1#), G major (1#), G major (1#), G major (1#), C major (0), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b)
B major (5#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D major (2#), D minor (1b), F major (1b), D minor (1b), E minor (1#), E major (4#), E major (4#), E major (4#), D major (2#), D major (2#), D major (2#), D major (2#), B minor (2#), E minor (1#), E minor (1#), B minor (2#), D major (2#), D minor (1b), F major (1b), D minor (1b), A minor (0), E minor (1#), G major (1#), D major (2#), C major (0), F major (1b), F major (1b), D major (2#), D major (2#), D minor (1b), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), B minor (2#), B minor (2#), B minor (2#), E minor (1#), E minor (1#), E minor (1#), D minor (1b), A minor (0), E minor (1#), A minor (0), E minor (1#), A minor (0), D minor (1b), D minor (1b), D major (2#), D major (2#), G major (1#), D major (2#), D major (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), D major (2#), B minor (2#), D major (2#), D major (2#), D major (2#), F major (1b), F major (1b), C major (0), E minor (1#), E major (4#), E major (4#), E major (4#), E major (4#), E minor (1#), E minor (1#), G major (1#), D major (2#), E minor (1#), A minor (0), E minor (1#), C major (0), F major (1b), F major (1b), C major (0), A minor (0), E minor (1#)
Bb minor (5b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), Bb major (2b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), C major (0), F major (1b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), A minor (0), A minor (0), E minor (1#), G major (1#), G major (1#), C major (0), F major (1b), F minor (4b), F major (1b), F major (1b), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), Bb major (2b), D minor (1b), F major (1b), Bb major (2b), Bb major (2b), D minor (1b), F major (1b), F minor (4b), F major (1b), F major (1b), F major (1b), A minor (0), A minor (0), G major (1#), E minor (1#), G major (1#), G major (1#), Bb major (2b), F major (1b), F major (1b), F major (1b), D minor (1b), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F major (1b), F minor (4b), F major (1b), D minor (1b), F major (1b), F major (1b), F major (1b), D minor (1b), Bb major (2b), Bb major (2b), Bb major (2b), F major (1b), F major (1b), A minor (0), A minor (0), E minor (1#), G major (1#), G minor (2b), G minor (2b), F major (1b), F major (1b), F major (1b), F major (1b), C major (0), C minor (3b), F minor (4b), F major (1b), F major (1b), F major (1b), F minor (4b)
G# minor (5#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D minor (1b), D minor (1b), D major (2#), D major (2#), G major (1#), G major (1#), D major (2#), D major (2#), D minor (1b), F major (1b), D minor (1b), E minor (1#), B minor (2#), B major (5#), E major (4#), B minor (2#), B minor (2#), D major (2#), D minor (1b), C major (0), A minor (0), A minor (0), A major (3#), A minor (0), D minor (1b), F major (1b), D minor (1b), A minor (0), C major (0), C major (0), G major (1#), C major (0), F major (1b), F major (1b), D minor (1b), D major (2#), D minor (1b), A minor (0), A major (3#), A minor (0), D minor (1b), A minor (0), A minor (0), E minor (1#), B minor (2#), B major (5#), B minor (2#), E major (4#), E minor (1#), G major (1#), C major (0), C major (0), G major (1#), G major (1#), D major (2#), C major (0), F major (1b), C major (0), G major (1#), G major (1#), G major (1#), D major (2#), G major (1#), D major (2#), D minor (1b), F major (1b), D major (2#), G major (1#), G major (1#), G major (1#), D major (2#), D minor (1b), F major (1b), F major (1b), C major (0), E minor (1#), E major (4#), B major (5#), E major (4#), E major (4#), E minor (1#), G major (1#), G major (1#), D major (2#), G major (1#), G major (1#), E minor (1#), C major (0), F major (1b), F major (1b), C major (0), C major (0), C major (0)
